Name,city,state,country
University of South Carolina System,,,United States
Jordan University of Science & Technology,,,Jordan
Kuopio University Hospital,,,Finland
Federal University of Rio Grande do Norte,,,Brazil
University of Szeged,,,Hungary
Jena University Hospital,,,Germany
Rostock University Medical Centre,,,Germany
University of Guelph,,,Canada
Kermanshah University of Medical Sciences (Kums),,,Iran
Waseda University,,,Japan
NHS Lothian,,,United Kingdom
"Victoria University, Melbourne",,,Australia
"Biomedical Research Networking Center in Bioengineering, Biomaterials and Nanomedicine",,,Spain
Technical University of Liberec,,,Czech Republic
Open University of the Netherlands,,,Netherlands
"St Michael's Hospital, Toronto",,,Canada
Lithuanian Sports University,,,Lithuania
York University,,,Canada
Naval Health Research Center,,,United States
Finnish Institute of Occupational Health,,,Finland
University of Fort Hare,,,South Africa
University of Rhode Island,,,United States
"Royal Veterinary College, University of London",,,United Kingdom
Institut de Recherche pour le Développement,,,France
Institut des Sciences Moléculaires d'Orsay - UMR 8214,,,France
University of Waikato,,,New Zealand
Royal Liverpool University Hospital,,,United Kingdom
Gulu University,,,Uganda
"University of South Florida, Tampa",,,United States
Corvinus University of Budapest,,,Hungary
National Sun Yat-sen University,,,Taiwan
Institute for Health Science Research Germans Trias i Pujol,,,Spain
Shahid Bahonar University of Kerman,,,Iran
"University of Colorado, Boulder",,,United States
King Saud University,,,Saudi Arabia
Aalborg University Hospital,,,Denmark
Witten/Herdecke University,,,Germany
Jawaharlal Nehru University,,,India
Kagoshima University,,,Japan
International Union Against Tuberculosis & Lung Disease,,,France
al-Farabi Kazakh National University,,,Kazakhstan
Stockholm School of Economics in Riga,,,Latvia
University of Bedfordshire,,,United Kingdom
Liverpool John Moores University,,,United Kingdom
University of Memphis,,,United States
Stavanger University Hospital,,,Norway
China University of Geosciences,,,China
University of York,,,United Kingdom
Bradford Royal infirmary,,,United Kingdom
University of Southampton,,,United Kingdom
University of Las Palmas de Gran Canaria,,,Spain
North Carolina State University,,,United States
Duke Clinical Research Institute,,,United States
University of South Florida System,,,United States
Steno Diabetes Centre,,,Denmark
University of Konstanz,,,Germany
National Institute of Health and Welfare,,,Finland
Wilfrid Laurier University,,,Canada
Simon Fraser University,,,Canada
RUDN University,,,Russia
Tilburg University,,,Netherlands
University of Wollongong,,,Australia
Bond University,,,Australia
National Taiwan Normal University,,,Taiwan
Institut des Sciences Moléculaires de Marseille,,,France
Zhejiang University of Technology,,,China
RTI International,,,United States
University of Ibadan,,,Nigeria
University of Tartu,,,Estonia
Hunter Medical Research Institute,,,Australia
University of Rennes 1,,,France
Trinity College Dublin,,,Ireland
Teesside University,,,United Kingdom
Helmholtz Center Munich - German Research Center for Environmental Health,,,Germany
Institut français de recherche pour l'exploitation de la mer,,,France
London School of Economics and Political Science,,,United Kingdom
University of Karachi,,,Pakistan
University of Tasmania,,,Australia
Shahid Beheshti University,,,Iran
University of New Brunswick,,,Canada
Andalusian School of Public Health (EASP),,,Spain
German Diabetes Center (DDZ),,,Germany
"University of Minnesota, Duluth",,,United States
University of the West of England Bristol,,,United Kingdom
Soroka Medical Center,,,Israel
Federal Institute for Occupational Safety and Health (BAuA),,,Germany
"Institut français des sciences et technologies des transports, de l' aménagement et des réseaux",,,France
University of Kelaniya,,,Sri Lanka
"University of Illinois, Urbana-Champaign",,,United States
Capital Institute of Pediatrics,,,China
University Hospital of Munich,,,Germany
Institut Mines-Télécom,,,France
Federal University of Pelotas,,,Brazil
Niigata University,,,Japan
Toronto Western Hospital,,,Canada
Edith Cowan University,,,Australia
Sant'Anna School for Advanced Studies,,,Italy
General Sir John Kotelawala Defence University,,,Sri Lanka
University of Stirling,,,United Kingdom
Norwegian University of Life Sciences,,,Norway
Colorado State University,,,United States
Queen's University,,,Canada
University of Central Lancashire,,,United Kingdom
Institut National d'études Démographiques,,,France
Murdoch University,,,Australia
Institut national de recherche et de sécurité,,,France
Institut National des Sciences Appliquées - INSA Lyon,,,France
Al-Azhar University,,,Egypt
Bocconi University,,,Italy
Tokyo Medical and Dental University,,,Japan
Institut National des Sciences Appliquées - INSA Rennes,,,France
Oklahoma State University - Tulsa,,,United States
Institut National des Sciences Appliquées - INSA Strasbourg,,,France
Tomsk State University,,,Russia
"Royal Children's Hospital, Melbourne",,,Australia
University of Agder,,,Norway
eCampus University,,,Italy
Oklahoma State University System,,,United States
Institut National des Sciences Appliquées - INSA Toulouse,,,France
MCI Management Center Innsbruck,,,Austria
North China University of Science and Technology,,,China
Louisiana State University,,,United States
Prince Charles Hospital,,,Australia
University of Lagos,,,Nigeria
Hong Kong Polytechnic University,,,China
Albany Medical Center Hospital,,,United States
"Institut national supérieur des sciences agronomiques, de l'alimentation et de l'environnement",,,France
University of Debrecen,,,Hungary
Kuwait University,,,Kuwait
Institute des Biomolécules Max Mousseron,,,France
Neu-Ulm University of Applied Sciences,,,Germany
Vrije Universiteit Medical Centre Amsterdam,,,Netherlands
Chiang Mai University,,,Thailand
University of Graz,,,Austria
Aga Khan University,,,Pakistan
University Medical Center Groningen,,,Netherlands
Institute for Research in Fundamental Sciences,,,Iran
Memorial University of Newfoundland,,,Canada
Colorado State University System,,,United States
Charles Sturt University,,,Australia
Universidade do Extremo Sul Catarinense - UNESC,,,Brazil
University of Campinas,,,Brazil
University of Toyama,,,Japan
"Oklahoma State University, Stillwater",,,United States
Universidade Federal do Pampa - UNIPAMPA,,,Brazil
Catholic University of Eichstatt-Ingolstadt,,,Germany
Boston College,,,United States
University of Coimbra,,,Portugal
Brandeis University,,,United States
Brandenburg University of Technology Cottbus-Senftenberg,,,Germany
"Purdue University, West Lafayette",,,United States
Purdue University system,,,United States
University of East Anglia,,,United Kingdom
Mahidol Oxford Tropical Medicine Research Unit (MORU),,,Thailand
Moi University,,,Kenya
PATH,,,United States
WHO in the Western Pacific,,,Philippines
KIT Royal Tropical Institute,,,Netherlands
Universidade Federal do ABC - UFABC,,,Brazil
Eduardo Mondlane University,,,Mozambique
Baqiyatallah University of Medical Sciences (BMSU),,,Iran
University of Antwerp,,,Belgium
National Institute for Medical Research,,,Tanzania
Massachusetts Institute of Technology,,,United States
National Aeronautics and Space Administration,,,United States
Manipal Academy of Higher Education,,,India
St Olav's Hospital - Trondheim University Hospital,,,Norway
University of Notre Dame,,,United States
MRC Epidemiology Unit,,,United Kingdom
Indian Institute of Technology Delhi,,,India
University of Winchester,,,United Kingdom
Guttmacher Institute,,,United States
University of Limerick,,,Ireland
Obafemi Awolowo University,,,Nigeria
"Queen's College, City University of New York",,,United States
"National University of Ireland, Galway",,,Ireland
"Hunter College, City University of New York",,,United States
Fujian University of Traditional Chinese Medicine,,,China
"China Medical University Hospital, Taiwan",,,Taiwan
Bordeaux INP,,,France
University College Cork,,,Ireland
King's College Hospital,,,United Kingdom
University of New Mexico,,,United States
Panjab University,,,India
Iowa State University,,,United States
RMIT University,,,Australia
Chonnam National University,,,South Korea
Carnegie Mellon University,,,United States
Mondor Institute of Biomedical Research (U 955),,,France
Centro de Investigacion Biomedica en Red de Salud Mental,,,Spain
Warneford Hospital,,,United Kingdom
Cambridgeshire & Peterborough NHS Foundation Trust,,,United Kingdom
Agricultural Research Service,,,United States
University of Science and Technology of China,,,China
Yantai University,,,China
Azienda Ospedaliera Universitaria Policlinico Tor Vergata,,,Italy
Rutgers University - Newark,,,United States
University of Tulsa,,,United States
Oxford Health NHS Foundation Trust,,,United Kingdom
United States Department of Agriculture,,,United States
MRC London Institute of Medical Sciences,,,United Kingdom
Weizmann Institute of Science,,,Israel
Max Planck Institute for Human Cognition and Brain Science,,,Germany
Tarbiat Modares University,,,Iran
Santa Lucia Foundation,,,Italy
James J. Peters VA Medical Center,,,United States
Open University of Catalonia,,,Spain
The Open University,,,United Kingdom
James A. Haley Veterans Hospital,,,United States
Research Institute of Experimental Medicine RAMS,,,Russia
Mario Negri Institute for Pharmacological Research,,,Italy
"University of Texas, Dallas",,,United States
University of Gloucestershire,,,United Kingdom
"University of California, Riverside",,,United States
Russian Academy of Medical Science,,,Russia
Hainan University,,,China
"Binghamton University, State University of New York",,,United States
Roskamp Institute,,,United States
Schneider Children's Medical Center,,,Israel
Universidad del Desarrollo,,,Chile
Institute of Electronic Materials Technology,,,Poland
St Joseph's Healthcare Hamilton,,,Canada
Victoria University of Wellington,,,New Zealand
Memorial Sloan Kettering Cancer Center,,,United States
Miami VA Healthcare System,,,United States
City University of Hong Kong,,,China
Instituto de Biologia Experimental e Tecnológica,,,Portugal
Helsinki University Hospital,,,Finland
Laurentian University,,,Canada
Instituto de Botânica,,,Brazil
Kennedy Krieger Institute,,,United States
Felsenstein Medical Research Center,,,Israel
Instituto Butantan,,,Brazil
Max Planck Institute of Psychiatry,,,Germany
Acibadem University,,,Turkey
German Centre for Neurodegenerative Diseases,,,Germany
University of Insubria,,,Italy
Kobe University,,,Japan
John Radcliffe Hospital,,,United Kingdom
Centre Hospitalier Sainte-Anne,,,France
Van Andel Research Institute,,,United States
Max Delbruck Centre for Molecular Medicine,,,Germany
Huaibei Normal University,,,China
Leibniz Institute for Farm Animal Biology,,,Germany
Japan Science and Technology Agency,,,Japan
New York State Psychiatric Institute,,,United States
Instituto de Pesquisas Energéticas e Nucleares - Ipen,,,Brazil
Centro de Pesquisas Goncalo Moniz,,,Brazil
Universidade do Sul de Santa Catarina - Unisul,,,Brazil
Instituto de Salud Pública de Navarra,,,Spain
Escola Superior de Enfermagem de Lisboa,,,Portugal
Universidade de Fortaleza - UNIFOR,,,Brazil
Instituto de Telecomunicações,,,Portugal
Universidade Tiradentes - UNIT,,,Brazil
Londrina State University,,,Brazil
Universidade Federal do Amazonas - UFAM,,,Brazil
Universidade Estadual de Montes Claros,,,Brazil
University of Minho,,,Portugal
Escola Superior de Enfermagem do Porto,,,Portugal
Polytechnical Institute of Leiria,,,Portugal
Federal University of Santa Maria,,,Brazil
Universidade Estadual de Feira de Santana - UEFS,,,Brazil
Cambridge Health Alliance,,,United States
Instituto Leônidas e Maria Deane,,,Brazil
Pontifical Catholic University of Peru,,,Peru
Federal University of Mato Grosso - UFMT,,,Brazil
instituto murciano de investigación y desarrollo agrario y alimentario (imida),,,Spain
Universidad Nacional del Sur,,,Argentina
Universidade Federal de Alagoas - UFAL,,,Brazil
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubir n (INCMNSZ),,,Mexico
Universidade Federal de Santa Catarina,,,Brazil
National University of Cordoba,,,Argentina
Instituto Nacional de Ciência e Tecnologia de Doenças Tropicais,,,Brazil
Instituto Nacional de Cáncer (INCA),,,Brazil
Gunma University,,,Japan
"Associated Regional and University Pathologists, Inc. - ARUP Laboratories",,,United States
Texas Children's Hospital,,,United States
Western Health and Social Care Trust,,,United Kingdom
Altnagelvin Area Hospital,,,United Kingdom
University of Malaga,,,Spain
University of Naples Federico II,,,Italy
Shinshu University,,,Japan
Consiglio Nazionale delle Ricerche,,,Italy
St George's University Hospitals NHS Foundation Trust,,,United Kingdom
"St George's, University of London",,,United Kingdom
Centre hospitalier universitaire de Toulouse,,,France
Beirut Arab University,,,Lebanon
Royal Perth Hospital,,,Australia
Azienda Ospedaliero-Universitaria Careggi,,,Italy
Inner Mongolia Medical University (IMMU),,,China
Instituto Nacional de Investigação Agrária e Veterinária,,,Portugal
Hospital Santa Creu y Sant Pau,,,Spain
Jagiellonian University,,,Poland
Zhejiang Chinese Medical University,,,China
Hyogo College of Medicine,,,Japan
University of Novi Sad,,,Serbia
University of Buenos Aires,,,Argentina
Fukuoka University,,,Japan
Hospital Universitario Miguel Servet,,,Spain
People's Hospital of Guangxi Zhuang Autonomous Region,,,China
University Hospital Ostrava,,,Czech Republic
Democritus University of Thrace,,,Greece
Ann & Robert H. Lurie Children's Hospital of Chicago,,,United States
University of Sfax,,,Tunisia
University of Glasgow,,,United Kingdom
University of Palermo,,,Italy
Hospital Universitari Son Espases,,,Spain
Klinicka bolnica Sveti Duh,,,Croatia
CNR Fondazione Toscana G. Monasterio,,,Italy
Zuckerberg San Francisco General Hospital and Trauma Center,,,United States
Chiba University Hospital,,,Japan
Jikei University School of Medicine,,,Japan
Nippon Medical School,,,Japan
Maulana Azad Medical College,,,India
Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone,,,Italy
Hospital Universitario Virgen de la Victoria,,,Spain
Yamaguchi University,,,Japan
Kantonsspital Aarau,,,Switzerland
Santa Chiara Hospital,,,Italy
Barnes-Jewish Hospital,,,United States
instituto nacional de pesquisas da amazônia (inpa),,,Brazil
University Hospitals Birmingham NHS Foundation Trust,,,United Kingdom
"Government College University, Faisalabad",,,Pakistan
University of Potsdam,,,Germany
Hospital Universitario de San Juan,,,Spain
Ain Shams University,,,Egypt
Netherlands Cancer Institute - Antoni van Leeuwenhoek Hospital,,,Netherlands
University of Ostrava,,,Czech Republic
Istanbul Arel University,,,Turkey
University of Fukui,,,Japan
Novosibirsk State University,,,Russia
Shimane University,,,Japan
"National Institute of Advanced Industrial Science and Technology (AIST),",,,Japan
Osmania University,,,India
Umm Al Qura University,,,Saudi Arabia
University of Leipzig Medical Center,,,Germany
Shaoxing University,,,China
Guangzhou University of Chinese Medicine,,,China
China Academy of Chinese Medical Sciences,,,China
Beijing Jishuitan Hospital,,,China
Yonsei University Health System,,,South Korea
Centro de Investigacion Biomedica en Red de Enfermedades Hepaticas y Digestivas,,,Spain
IRCCS Instituto Nazionale per le Malattie infettive Lazzaro Spallanzani,,,Italy
China Academy of Building Research,,,China
Taizhou Hospital of Zhejiang Province,,,China
Centre Hospitalier Regional d'Orleans,,,France
Mount Auburn Hospital,,,United States
Hanoi University of Science & Technology,,,Vietnam
"University College Hospital, London",,,United Kingdom
University College London Hospitals NHS Foundation Trust,,,United Kingdom
Centre Hospitalier Universitaire de Saint-Etienne,,,France
"University at Albany, The State University of New York",,,United States
HagaZiekenhuis,,,Netherlands
Royal Free Hospital,,,United Kingdom
University Hospital of South Manchester NHS Foundation Trust,,,United Kingdom
Reinier Haga Groep,,,Netherlands
Medical University of Innsbruck,,,Austria
Queen Elizabeth's Hospital Birmingham,,,United Kingdom
Royal Free London NHS Foundation Trust,,,United Kingdom
Sint Franciscus Vlietland Groep,,,Netherlands
Instituto Politécnico da Guarda,,,Portugal
University of Fribourg,,,Switzerland
University of the West of Scotland,,,United Kingdom
IRCCS Ca' Granda Ospedale Maggiore Policlinico,,,Italy
Cha University,,,South Korea
Instituto Politécnico de Castelo Branco,,,Portugal
National Institute for Health Research,,,United Kingdom
Bundeswehr Institute of Microbiology,,,Germany
Hospital Universitario Ramon y Cajal,,,Spain
Israel Institute for Biological Research,,,Israel
Helsingborg Hospital,,,Sweden
Oulu University Hospital,,,Finland
University of Genoa,,,Italy
University of Oulu,,,Finland
Instituto Politécnicode Coimbra,,,Portugal
Medisch Spectrum Twente,,,Netherlands
University of Arizona Health Sciences,,,United States
Kanazawa University Hospital,,,Japan
Santeon,,,Netherlands
Instituto Politécnico de Portalegre,,,Portugal
Instituto politécnico do cávado e do Ave,,,Portugal
Nationwide Children's Hospital,,,United States
Kiel University,,,Germany
Instituto português de oncologia do porto,,,Portugal
Kanazawa University,,,Japan
University of Twente,,,Netherlands
Maasstad Ziekenhuis,,,Netherlands
Instituto universitário de ciências psicológicas sociais e da vida  (ISPA),,,Portugal
Azienda Ospedaliera San Paolo-Polo Universitario,,,Italy
Tokyo Medical & Dental University Hospital,,,Japan
Bernstein Center for Computational Neuroscience Berlin,,,Germany
Humanitas Research Hospital,,,Italy
"University Hospital Schleswig Holstein, Campus Kiel",,,Germany
Bristol Royal Infirmary,,,United Kingdom
Institut Cochin,,,France
University of Clermont Auvergne,,,France
Azienda Ospedaliera Universitaria di Ferrara Arcispedale Sant'Anna,,,Italy
İnönü University,,,Turkey
Fondazione Filarete,,,Italy
San Bortolo Hospital of Vicenza,,,Italy
Centre hospitalier universitaire de Clermont-Ferrand,,,France
IRCCS NEUROMED Mediterranean Neurological Institute,,,Italy
University Hospitals Bristol and Weston NHS Foundation Trust,,,United Kingdom
University Hospital of Heraklion,,,Greece
University Hospital Santa Maria Della Misericordia Udine,,,Italy
Jichi Medical University,,,Japan
Toronto General Hospital,,,Canada
Centre hospitalier universitaire Amiens-Picardie,,,France
Campbelltown and Camden Hospital,,,Australia
The University of Tokyo Hospital,,,Japan
Rijnstate,,,Netherlands
University of Lille,,,France
Furtwangen University,,,Germany
"Liverpool Hospital, New South Wales",,,Australia
ISEC Lisboa - Higher Institute of Education and Sciences,,,Portugal
University of Iceland,,,Iceland
CHU Estaing,,,France
University of Latvia,,,Latvia
University of Valladolid,,,Spain
Centre Jean Perrin,,,France
University of Salamanca,,,Spain
Istituto di Ricovero e Cura a Carattere Scientifico maternoinfantile I.R.C.C.S. ,,,Italy
Istituto Superiore di Sanitá,,,Italy
Izmir Kâtip Çelebi University,,,Turkey
Izmir Katip Celebi University Atatürk Education and Research Hospital,,,Turkey
University of Picardie Jules Verne,,,France
Roskilde University,,,Denmark
Hospital Universitario Rio Hortega,,,Spain
Azienda Ospedaliera Universitaria Policlinico Umberto I,,,Italy
Necmettin Erbakan University,,,Turkey
University of Messina,,,Italy
Mersin University,,,Turkey
Chengdu University of Traditional Chinese Medicine Affiliated Hospital,,,China
Trakya University,,,Turkey
Ufuk University Dr. Ridvan Ege Hospital,,,Turkey
"University of Medicine, Tirana",,,Albania
Jan Evangelista Purkyne University in Ústí  nad Labem,,,Czech Republic
Maria Sklodowska-Curie Institute of Oncology,,,Poland
Julius Kühn-Institut Federal Research Centre for Cultivated Plants,,,Germany
Istituto Dermopatico dell'Immacolata (IDI),,,Italy
Ain Shams University Hospital,,,Egypt
Erzincan Binali Yildirim University,,,Turkey
Hospital Universitario de La Princesa,,,Spain
University Hospital Center of Tirana Mother Teresa,,,Albania
Institute of Medical Sciences and SUM Hospital (IMS and SUM Hospital),,,India
St Joseph University,,,Lebanon
Jan Dlugosz University in Czestochowa,,,Poland
Srinakharinwirot University,,,Thailand
University of Parma,,,Italy
Hospital Universitario Central de Asturias,,,Spain
Klinicki bolnicki centar Sestre milosrdnice,,,Croatia
Istanbul Medipol University,,,Turkey
Assiut University,,,Egypt
University of Nis,,,Serbia
Hospital Universitario Virgen del Rocio,,,Spain
Celal Bayar University,,,Turkey
University Hospital Vinohrady,,,Czech Republic
University of Warmia and Mazury in Olsztyn,,,Poland
"Amity University, Noida",,,India
Bahcesehir University,,,Turkey
Beijing Technology and Business University (BTBU),,,China
Gazi University,,,Turkey
University of Defence Belgrade,,,Serbia
Azienda Ospedaliero Universitaria Maggiore della Caritá di Novara,,,Italy
Usak University,,,Turkey
National Research Center,,,Egypt
Lithuanian University of Health Sciences,,,Lithuania
Aksaray University,,,Turkey
Jülich Aachen Research Alliance (JARA),,,Germany
Medical University of Silesia,,,Poland
Ankara Numune Training and Research Hospital,,,Turkey
Ankara University,,,Turkey
Hospital Universitario de Valme,,,Spain
Hospital General Universitario de Alicante,,,Spain
Harran University,,,Turkey
University of Balamand,,,Lebanon
Islamic Azad University Tehran Ambiguous,,,Iran
University of Chile,,,Chile
Azienda Ospedaliero-Universitaria di Parma,,,Italy
Jiangsu Institute of Parasitic Diseases,,,China
Kahramanmaraş Sütçü İmam Üniversitesi,,,Turkey
St George's Hospital,,,Australia
Jinling Hospital (Nanjing General Hospital of Nanjing Military Command),,,China
"American Hospital, Tirana",,,Albania
Ufuk University,,,Turkey
Centro Hospitalar Universitario de Sao Joao,,,Portugal
Dana-Dwek Children's Hospital,,,Israel
Islamic Azad University Science & Research Tehran,,,Iran
Josef Stefan Institute,,,Slovenia
Guglielmo Marconi University,,,Italy
Assiut University Hospital,,,Egypt
Saint George Hospital University Medical Center,,,Lebanon
Islamic Azad University System,,,Iran
Karabük University,,,Turkey
Mykolas Romeris University,,,Lithuania
El Bosque University,,,Colombia
Suez Canal University,,,Egypt
Josef Stefan International Postgraduate School,,,Slovenia
Uludag University,,,Turkey
Council for Scientific and Industrial Research,,,India
Islamic Azad University Pharmaceutical Sciences Branch,,,Iran
Dunarea de Jos University of Galati,,,Romania
Medipol University Hospital,,,Turkey
Jönköping University,,,Sweden
Firat University,,,Turkey
Sts Cyril and Methodius University of Skopje,,,NULL
Banaras Hindu University,,,India
IRCCS Istituto Ortopedico Galeazzi,,,Italy
Yeditepe University,,,Turkey
Medical University of Lublin,,,Poland
Providence VA Medical Center,,,United States
National Yunlin University of Science and Technology (YunTech),,,Taiwan
National Cancer Center,,,Japan
Bristol General Hospital,,,United Kingdom
Chulalongkorn University,,,Thailand
Hospital Universitario de Cruces,,,Spain
Kansai Medical University,,,Japan
Osaka City University,,,Japan
"National Polytechnic Institute, Mexico",,,Mexico
IRCCS Casa Sollievo della Sofferenza,,,Italy
Ton Duc Thang University,,,Vietnam
Royal Adelaide Hospital,,,Australia
Koszalin University of Technology,,,Poland
Nord University,,,Norway
University of Angers,,,France
Pennington Biomedical Research Center,,,United States
Koç University,,,Turkey
Lille 2 University,,,France
National Research Tomsk Polytechnic University,,,Russia
Howard University,,,United States
Medical University of Sofia,,,Bulgaria
Kangwon National University,,,South Korea
Koç University Hospital,,,Turkey
University of Guanajuato,,,Mexico
University of Texas Medical Branch at Galveston,,,United States
University of Lower Silesia,,,Poland
Kütahya Dumlupinar University,,,Turkey
Kütahya University of Health Sciences,,,Turkey
University of Oviedo,,,Spain
University of Quebec at Rimouski,,,Canada
China Institute of Water Resources and Hydropower Research,,,China
Hospital Universitario La Paz,,,Spain
De Montfort University,,,United Kingdom
Kyoto Prefectural University of Medicine,,,Japan
Centre hospitalier regional universitaire de Besancon,,,France
Swansea Bay University Health Board,,,United Kingdom
Morriston Hospital,,,United Kingdom
University of Texas Rio Grande Valley,,,United States
Queen's University Belfast,,,United Kingdom
Centro de Investigacion Biomedica en Red de Diabetes y Enfermedades Metabolicas Asociadas,,,Spain
Coombe Women & Infants University Hospital,,,Ireland
Institute of Health & Wellbeing,,,United Kingdom
King Abdulaziz University,,,Saudi Arabia
Hospital Universitario Puerta del Mar,,,Spain
Fujita Health University,,,Japan
Betsi Cadwaladr University Health Board,,,United Kingdom
Kaohsiung Veterans General Hospital,,,Taiwan
Tohoku University Hospital,,,Japan
Tzu Chi University,,,Taiwan
Wrexham Maelor Hospital,,,United Kingdom
Royal Devon and Exeter NHS Foundation Trust,,,United Kingdom
Laureate Institute for Brain Research,,,United States
Syiah Kuala University,,,Indonesia
St. Marianna University School of Medicine,,,Japan
Campus Bio-Medico University of Rome,,,Italy
Whipps Cross University Hospital,,,United Kingdom
Le Mans Université,,,France
Menzies School of Health Research,,,Australia
Cincinnati VA Medical Center,,,United States
Linkoping University Hospital,,,Sweden
National Institute of Diabetes and Digestive and Kidney Diseases,,,United States
Royal Darwin Hospital,,,Australia
Asian Institute of Technology,,,Thailand
Institut des Sciences Chimiques de Rennes,,,France
Beijing University of Civil Engineering and Architecture,,,China
Singidunum University,,,Serbia
Institute of Occupational Medicine,,,United Kingdom
Nanchang Hangkong University,,,China
Hohai University,,,China
Beijing Forestry University,,,China
Link�ping University,,,Sweden
Wuhan Institute of Technology,,,China
North China Electric Power University,,,China
Hunan University,,,China
Sejong University,,,South Korea
Henan Polytechnic University,,,China
Inner Mongolia University,,,China
Jiangsu Normal University,,,China
Norwegian Polar Institute,,,Norway
Beijing University of Technology,,,China
Harbin Institute of Technology,,,China
Romanian Academy,,,Romania
Linyi People's Hospital,,,China
Leibniz Institute DSMZ German Collection of Microorganisms and Cell Cultures,,,Germany
Far Eastern Federal University,,,Russia
Savitribai Phule Pune University,,,India
Delft University of Technology,,,Netherlands
Wuhan Polytechnic University,,,China
South Central University for Nationalities,,,China
Montana University System,,,United States
Nanjing Forestry University,,,China
"Shanmugha Arts, Science, Technology & Research Academy",,,India
Lancaster Environment Centre,,,United Kingdom
National Center for Scientific Research Demokritos,,,Greece
Dalian University of Technology,,,China
University of Science and Technology Beijing,,,China
Libera Universitá degli Studi Maria Ss. Assunta di Roma,,,Italy
Libera Universitá  Internazionale degli Studi Sociali Guido Carli,,,Italy
University of Rijeka,,,Croatia
Taiyuan University of Technology,,,China
Beijing Jiaotong University,,,China
Lancaster University,,,United Kingdom
Clarkson University,,,United States
Lodz University of Technology,,,Poland
University of Girona,,,Spain
Office de protection contre les rayonnements ionisants,,,France
University of La Rochelle,,,France
"Chinese Academy of Sciences, Nanjing Branch",,,China
SUNY College of Environmental Science and Forestry,,,United States
Technical University of Denmark,,,Denmark
University of Montana,,,United States
Nanjing University of Information Science and Technology,,,China
Institut Universitaire de France,,,France
University of Tangier,,,Morocco
Gwangju Institute of Science & Technology,,,South Korea
Huaqiao University,,,China
Liverpool Women's NHS Foundation Trust,,,United Kingdom
University of Sassari,,,Italy
Tianjin University of Science and Technology,,,China
Wetsus European Centre of Excellence for Sustainable Water Technology,,,Netherlands
Syracuse University,,,United States
Azienda Ospedaliero Universitaria Sassari,,,Italy
Northwestern Polytechnical University,,,China
"University of Veterinary and Pharmaceutical Sciences, Brno",,,Czech Republic
Fuzhou University,,,China
Chongqing University of Arts and Sciences,,,China
University of Cassino and Southern Lazio,,,Italy
Maria Curie-Sklodowska University,,,Poland
"University of Chemistry and Technology, Prague",,,Czech Republic
Ludwig Boltzmann Gesellschaft(LBG),,,Austria
Jeonbuk National University,,,South Korea
Luleå University of Technology,,,Sweden
University of Lisbon (superseded),,,Portugal
University of Wuppertal,,,Germany
King Abdullah University of Science and Technology,,,Saudi Arabia
Barcelona Institute for Global Health,,,Spain
Northwest University,,,China
Tianjin Normal University,,,China
University of Ioannina,,,Greece
Dongguk University,,,South Korea
University of Technology (CCUT),,,China
University of Sri Jayewardenepura,,,Sri Lanka
CNR Institute of Atmospheric Sciences and Climate (ISAC),,,Italy
Helmholtz Center Dresden Rossendorf,,,Germany
University of Castilla-La Mancha,,,Spain
Danish Cancer Society,,,Denmark
Länssjukhuset Ryhov,,,Sweden
Nofer Institute of Occupational Medicine,,,Poland
National Institute for Occupational Safety and Health,,,United States
Northeast Forestry University,,,China
"Department of Chemical Science & Technology, CSIC",,,Spain
Paul Scherrer Institute,,,Switzerland
Institute of Electronic Structure and Laser,,,Greece
Nagoya University,,,Japan
Southern Federal University,,,Russia
Xidian University,,,China
Henan Normal University,,,China
Istituto Superiore per la Protezione e Ricerca Ambientale ISPRA,,,Italy
"Institute of Environmental Assessment and Water Research, CSIC",,,Spain
University of Western Macedonia,,,Greece
Institut National de l'Environnement Industriel et des Risques,,,France
Pukyong National University,,,South Korea
University of Patras,,,Greece
Korea Institute of Science and Technology,,,South Korea
University of Seoul,,,South Korea
Shenyang Agricultural University,,,China
University of Tabriz,,,Iran
M.M. Shemyakin Yu.A. Ovchinnikov Institute of Bioorganic Chemistry,,,Russia
New York State Department of Health,,,United States
National Institute R&D Isotop & Molecular Technology,,,Romania
Universidade de Lisboa,,,Portugal
Joint Research Centre of the European Commission in Ispra,,,Italy
Henan Agricultural University,,,China
Tallinn University of Technology,,,Estonia
University of Montana System,,,United States
"Department of Natural Resources, CSIC",,,Spain
Vellore Institute of Technology,,,India
Leibniz Institute for Zoo & Wildlife Research,,,Germany
University of North Texas,,,United States
State of New York,,,United States
Qingdao National Laboratory for Marine Science and Technology (QNLM),,,China
Universitat Internacional de Catalunya,,,Spain
European Union,,,Belgium
Johannes Gutenberg University Mainz,,,Germany
Portuguese Institute of the Sea and the Atmosphere,,,Portugal
Oxford Brookes University,,,United Kingdom
Jamia Millia Islamia,,,India
Northeast Normal University,,,China
Wageningen University & Research,,,Netherlands
Malmö University,,,Sweden
Wadsworth Center,,,United States
Tezpur University,,,India
KTH Royal Institute of Technology,,,Sweden
Masaryk Memorial Cancer Institute(MMCI),,,Czech Republic
Xinjiang University,,,China
Shenyang University of Technology,,,China
Australian Catholic University,,,Australia
University of Stuttgart,,,Germany
Qilu University of Technology,,,China
